id,release_year,artists,track_name
30UFKKWSOC2Xr6KfWcyvsI,2020,"4r63FhuTkUYltbVAg5TQnk, 757aE44tKEUQEqRuT6GnEB",ROCKSTAR (feat. Roddy Ricch)
3GBWERDFODMjX1ysTXLnmS,2020,"4r63FhuTkUYltbVAg5TQnk, 757aE44tKEUQEqRuT6GnEB",ROCKSTAR (feat. Roddy Ricch) - BLM REMIX
1jKlRcH7X78ps1yKBTWyUV,2021,"4MCBfE4596Uoi2O4DtmEMz, 4O15NlyKLIASxsJ0PrXPfz",Lucid Dreams (feat. Lil Uzi Vert) - Remix
5ZJGv7aGdIr9IGpxzSG18T,2023,"0hCNtLu0JehylgoiP8L4Gh, 4O15NlyKLIASxsJ0PrXPfz",Everybody (feat. Lil Uzi Vert)
2Hc1LaV6bzFil3dE71eORA,2023,"4O15NlyKLIASxsJ0PrXPfz, 0Y5tJX1MQlPlqiwlOH1tJY",Aye (feat. Travis Scott)
41bmnQZoDMQdDh5zyomtW7,2023,"4O15NlyKLIASxsJ0PrXPfz, 0hCNtLu0JehylgoiP8L4Gh",Endless Fashion (feat. Nicki Minaj)
59JWp4PjZ9TRM8cmtaDYB1,2020,"4O15NlyKLIASxsJ0PrXPfz, 1URnnhqYAYcrqrcwql10ft",Yessirskiii
3DoBTwfr8yi2LN08SBpFkN,2018,"0Y5tJX1MQlPlqiwlOH1tJY, 4O15NlyKLIASxsJ0PrXPfz, 5K4W6rqBFWDnAN6FQUkS6x",Watch (feat. Lil Uzi Vert & Kanye West)
3tDqEKKUs6gf8zMvSuLyLA,2020,"5f7VJjfbwm532GiveGC0ZK, 4O15NlyKLIASxsJ0PrXPfz",Commercial (feat. Lil Uzi Vert)
1ZlVEstPFrKs3alKIejN6I,2003,"1ZwdS5xdxEREPySFridCfh, 5me0Irg2ANcsgc93uaYrpb",Runnin' (Dying To Live)
6s4kWgzQwsueo3mfllY1s6,1999,"5me0Irg2ANcsgc93uaYrpb, 7dGJo4pcD2V6oG8kP0tJRR",Dead Wrong (feat. Eminem) - 2005 Remaster
6SMrWEWukd0DWh5iHGWgks,2007,"5me0Irg2ANcsgc93uaYrpb, 7dGJo4pcD2V6oG8kP0tJRR",Dead Wrong (feat. Eminem) - 2007 Remaster
6S5SJlNXgrUBTLa58NMwGk,1998,"1ZwdS5xdxEREPySFridCfh, 7hJcb9fa4alzcOq3EaNPoG",2 Of Amerikaz Most Wanted
36UjTTrSwaAqLkAlf2Ooc4,2004,"1ZwdS5xdxEREPySFridCfh, 7dGJo4pcD2V6oG8kP0tJRR",Soldier Like Me
0Lw6aQcBFWTQ9m4MSwwwes,2019,"4xRYI6VqpkE3UwrDrAZL8L, 7dGJo4pcD2V6oG8kP0tJRR",Homicide
0jqBo5RYn008f4ZY8kPewW,2018,"4xRYI6VqpkE3UwrDrAZL8L, 137W8MRPWKqSmrBGDBFSop",Indica Badu
6TkwBmyNs21ihKTi8Bp0eo,2020,"137W8MRPWKqSmrBGDBFSop, 4xRYI6VqpkE3UwrDrAZL8L",High Today (feat. Logic)
11xXXexOh1NfoKuxnTUUwh,2019,"0c173mlxpT3dSFRgMO8XPh, 0hCNtLu0JehylgoiP8L4Gh",Dance (A$$) - Remix
4FRW5Nza1Ym91BGV4nFWXI,2021,"3TVXtAsR1Inumwj472S9r4, 1sBkRIssrMs1AbVkOJbc7a",Lemon Pepper Freestyle (feat. Rick Ross)
50ceCGZ3oD3U5caQV5bP6f,2021,"3TVXtAsR1Inumwj472S9r4, 55Aa2cqylxrFIXC767Z865, 1sBkRIssrMs1AbVkOJbc7a",You Only Live Twice (with Lil Wayne & Rick Ross)
