word,frequency
lady,15
act,15
dudes,15
x,15
smoke,15
hovi,15
means,15
fresh,15
wife,15
brown,15
drink,15
"how,",14
100,14
(uhh!),14
making,14
dean,14
livin',14
nowhere,14
skin,14
watching,14
shot,14
'fore,14
that?,14
williams,14
write,14
listen,14
seats,14
"ohh,",14
holy,14
east,14
running,14
"forever,",14
south,14
bassline,14
(jay-z)],14
"strap,",14
choose,14
lotta,14
wake,14
riding,14
up),14
wherever,14
myself,14
versus,14
takin',14
crime,14
crack,14
25th,14
sittin',14
motherfucker,14
giving,14
"ass,",14
history,14
belong,14
tight,14
god?,14
"life""",14
"mean,",14
human,14
playin',14
bags,14
they'll,14
jigga,14
"alright,",14
tour,14
wit,14
jigga),14
chain,13
benz,13
killing,13
send,13
expect,13
business,13
tracks,13
near,13
jack,13
ohh,13
alive,13
marvin,13
"shot,",13
team,13
fighting,13
part,13
preach,13
sin,13
they're,13
shawn,13
you),13
doin',13
"song,",13
notorious,13
joy,13
williams],13
success,13
nina,13
"excellence,",13
"picasso,",13
billionaire,13
breathe,13
gold,13
fear,13
"mary,",13
hall,13
3,13
hustlin',13
add,13
"hola,",13
jungle,13
owe,13
wall,13
"there,",13
records,13
men,13
mine,13
uh-huh,13
"nah,",13
me!,13
"cards,",13
oh),13
"malcolm,",13
special,13
buy,13
"dawn,",13
"(uh-uh),",13
eat,13
asked,13
inside,13
"girl,",13
"come,",13
hovito,13
"hov',",12
row,12
judge,12
timberlake,12
throne,12
less,12
spend,12
t-pain,12
kind,12
"legacy,",12
type,12
me;,12
cheap,12
loved,12
elly,12
"million,",12
thinking,12
we'll,12
drugs,12
"look,",12
hi,12
squee'—,12
summer,12
"drugs,",12
shout,12
harder,12
reason,12
apple,12
"over,",12
short,12
feet,12
pass,12
yourself,12
engines,12
wit',12
"martin,",12
beings,12
dollars,12
rapping,12
coretta,12
"(uhh),",12
(oh),12
scars,12
numbers,12
bear,12
wear,12
alicia,12
sound,12
okay,12
course,12
"(uhh,",12
