track_id,track_name,album_name,release_date,popularity,artist_ids
2r69qGRkyBwiDQVDTXVUer,Plaza Con Prada,Rich Mafia Vol. 1,2024-11-01,57,"['4QFG9KrGWEbr6hNA58CAqE', '2hejA1Dkf8v8R0koF44FvW', '6GEykX11lQqp92UVOQQCC7']"
14246VCxRDGZHqlMlqWSz4,Wave Gods,Magic,2021-12-24,49,"['20qISvAhX20dpIbOOzGK3q', '13ubrt8QOOCPljQ2FL1Kca', '6GEykX11lQqp92UVOQQCC7']"
5Wt2UAS92w2ZyDqX2dOEBg,Getcha Groove On - Dirt Road Mix,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,47,"['165ZgPlLkK7bf5bDoFc6Sb', '4tujQJicOnuZRLiBFdp3Ou', '6GEykX11lQqp92UVOQQCC7']"
57pOyrIbZjxLqRbME7haSW,Together,Together,2024-05-17,47,"['1anyVhU62p31KFi8MEzkbf', '6GEykX11lQqp92UVOQQCC7']"
4LDx21eeTurv7b1slX4rFl,Define My Name,Define My Name,2024-04-19,46,"['20qISvAhX20dpIbOOzGK3q', '6GEykX11lQqp92UVOQQCC7']"
170RXtnRc5XmRfmpwrN0m5,"Million Pieces (feat. Teyana Taylor, Larry June & DJ Premier)",Better Me Than You,2024-08-30,46,"['0c173mlxpT3dSFRgMO8XPh', '4ULO7IGI3M2bo0Ap7B9h8a', '1grN0519h2zYqpRtYbDZAl', '6GEykX11lQqp92UVOQQCC7']"
5HyHWMxu2qIgzOyVcqsWPf,AEAO (Sped Up),AEAO,2023-08-22,43,"['4nvFFLtv7ZqoTr83387uK4', '6GEykX11lQqp92UVOQQCC7']"
3VymabYos1p2fXzmk0cPKg,Work This Out,Work This Out,2024-03-08,43,"['6GEykX11lQqp92UVOQQCC7', '1z7b1Pr1rSlvWRzsW3HOrS']"
30Abx6gxdPaycqNUilFB06,I Am Your Woman,"Chapter 1: Love, Pain and Forgiveness",2001-05-03,42,['1lE6SEy8f84Zhjvp7r8yTD']
3qYnvqzBaEO1fdNYyjX5JD,Guess What,The Best of Syleena Johnson,2008-07-22,17,['1lE6SEy8f84Zhjvp7r8yTD']
