id,release_year,artists,track_name
1xU5X5umTmmyYAPuoRLyPd,2008,"['5K4W6rqBFWDnAN6FQUkS6x', '7u6LfVyYpEzMpHLL7jTyvU']",Flashing Lights
5FmozEXMXttaTyrjtxuLoS,2009,"['63wjoROpeh5f11Qm93UiJ1', '55Aa2cqylxrFIXC767Z865']",Turnin Me On - Original Clean
3V9ACuXuVCcNzQ7ShTUx4B,2010,"['63wjoROpeh5f11Qm93UiJ1', '1sBkRIssrMs1AbVkOJbc7a']",The Way You Love Me
3R6dN42VdwivkZTMz03Rci,2008,"['63wjoROpeh5f11Qm93UiJ1', '55Aa2cqylxrFIXC767Z865']",Turnin Me On - Original Dirty
2MkbFWgdP17z3tXr586kdV,2010,"['63wjoROpeh5f11Qm93UiJ1', '5K4W6rqBFWDnAN6FQUkS6x']",Pretty Girl Rock
78TTtXnFQPzwqlbtbwqN0y,2015,"['5pKCCKE2ajJHZ9KAiaK11H', '5K4W6rqBFWDnAN6FQUkS6x', '4STHEaNw4mPZ2tzheohgXB']",FourFiveSeconds
0j35X8cTq543QDYLOyqB8W,2015,"['5K4W6rqBFWDnAN6FQUkS6x', '4STHEaNw4mPZ2tzheohgXB']",Only One
6ZbqIybNIVv2KBZkbYbIRA,2005,"['5K4W6rqBFWDnAN6FQUkS6x', '01QTIT5P1pFP3QnnFSdsJf']",Touch The Sky
0Xvbqfjc2sivTVj9SHIOIR,2006,"['5K4W6rqBFWDnAN6FQUkS6x', '01QTIT5P1pFP3QnnFSdsJf']",Touch The Sky - Live At Abbey Road Studios
50HCj9kEXIonBwRLXFWCr8,2010,"['5K4W6rqBFWDnAN6FQUkS6x', '0ONHkAv9pCAFxb0zJwDNTy']",Runaway
3Wx98ijEDnsxyMYePCuFNI,2022,"['0ONHkAv9pCAFxb0zJwDNTy', '5K4W6rqBFWDnAN6FQUkS6x']",Dreamin Of The Past (feat. Kanye West)
0LMgvEwpTKbo2fHS7Qcypy,2019,"['0huGjMyP507tBCARyzSkrv', '0ONHkAv9pCAFxb0zJwDNTy']",Nightmares Are Real (feat. Pusha T)
6vWEAOUSxohKxhp0K1BsxL,2019,"['1cNDP5yjU5vjeR8qMf4grg', '5K4W6rqBFWDnAN6FQUkS6x']",Mixed Personalities (feat. Kanye West)
0Gsj2iZerDbXbU0G1IHuB2,2005,"['5K4W6rqBFWDnAN6FQUkS6x', '7LnaAXbDVIL75IVPnndf7w']",Gold Digger
3A4cpTBPaIQdtPFb5JxtaX,2004,"['6vbY3hOaCAhC7VjucswgdS', '5K4W6rqBFWDnAN6FQUkS6x', '7LnaAXbDVIL75IVPnndf7w']",Slow Jamz
0HGk5Btyhr1Qu6z4x2S29T,2004,"['6vbY3hOaCAhC7VjucswgdS', '5K4W6rqBFWDnAN6FQUkS6x', '7LnaAXbDVIL75IVPnndf7w']",Slow Jamz (feat. Kanye West & Jamie Foxx)
7eck9XwORW9cWwnrMKt0dw,2013,"['7LnaAXbDVIL75IVPnndf7w', '3TVXtAsR1Inumwj472S9r4']",Fall For Your Type (feat. Drake)
2F1H1Tm2qJmeiFcUi7vZiL,2005,"['7LnaAXbDVIL75IVPnndf7w', '6vbY3hOaCAhC7VjucswgdS']",DJ Play A Love Song (feat. Twista)
15JINEqzVMv3SvJTAXAKED,2010,"['7dGJo4pcD2V6oG8kP0tJRR', '5pKCCKE2ajJHZ9KAiaK11H']",Love The Way You Lie
48RrDBpOSSl1aLVCalGl5C,2013,"['7dGJo4pcD2V6oG8kP0tJRR', '5pKCCKE2ajJHZ9KAiaK11H']",The Monster
5UsLjwBaTHBX4ektWIr4XX,2009,"['3TVXtAsR1Inumwj472S9r4', '5K4W6rqBFWDnAN6FQUkS6x', '55Aa2cqylxrFIXC767Z865', '7dGJo4pcD2V6oG8kP0tJRR']",Forever
5wbJN0U5y3GAw6RkkeivyI,2024,"['0huGjMyP507tBCARyzSkrv', '55Aa2cqylxrFIXC767Z865']",Back on the Road (feat. Lil Wayne)
0wT5T8Cstp8XvJIWz7kCVn,2024,"['0huGjMyP507tBCARyzSkrv', '55Aa2cqylxrFIXC767Z865']",Saturday Mornings (feat. Lil Wayne)
7bHT9osSq1rwT2yaImzqCi,2010,"['7dGJo4pcD2V6oG8kP0tJRR', '55Aa2cqylxrFIXC767Z865']",No Love
4Kz4RdRCceaA9VgTqBhBfa,2011,"['3TVXtAsR1Inumwj472S9r4', '55Aa2cqylxrFIXC767Z865']",The Motto
