id,name,genres,popularity,followers,is_rapper
3YBBdrVEWJrj4XONK0UtP2,Rosco P Coldchain,,22.0,575.0,0
4np9Zzw0SEYQLcGv28P51q,TRAVI,,33.0,536.0,0
56MDhktp7hO6MqKCS9rSXT,Mad Cobra,"dancehall, old school dancehall, reggae fusion",47.0,92329.0,0
0KuF7reCTOZwV7YJnHQqgr,The Neptunes,,58.0,116924.0,0
0Ye4nfYAA91T1X56gnlXAA,Mako,pop edm,67.0,121616.0,0
47mIJdHORyRerp4os813jD,League of Legends,"speedrun, video game music",86.0,1974954.0,0
0OJ5ViZQUFL6ileg5HvKKy,Trollphace,"brostep, deathstep, dubstep, filthstep, gaming dubstep, riddim dubstep",36.0,23863.0,0
1kwi1Q7X4jPTkHTgayxKhS,Alonestar,,43.0,8904.0,0
0cTSCsVx04SSht9V6cpKN0,Mavis Staples,"black americana, soul, southern soul, spirituals",51.0,110138.0,0
4Ui2kfOqGujY81UcPrb5KE,HAIM,"indietronica, metropopolis",65.0,1346742.0,0
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap",80.0,7319481.0,1
3ZotbHeyVQKxQCPDJuQ4SU,Q-Tip,"east coast hip hop, queens hip hop",61.0,611303.0,0
2KCRLxlHd2OgZG6YAOAcSu,YNW BSlime,melodic rap,50.0,376893.0,1
4bNsv6cC3fLoTi0Esh8aEg,YNW SmokeDaLoc,,27.0,3041.0,0
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,"brooklyn drill, melodic rap, nyc rap, rap",79.0,9266218.0,1
2JSwnwAT1BupAQkhqcRCUw,Sada Baby,"detroit trap, scam rap",56.0,528294.0,1
5HviKGcHfUcbesgUw0PLzX,Foreign Teck,,29.0,380.0,0
1bqJuNMz1iBqWo9B0BdIiM,FN DaDealer,atl trap,36.0,20269.0,1
3YYbAExunnHv5pW7GUZefk,DC The Don,"melodic rap, rage rap",59.0,321011.0,1
5jx69PEwHeFm5MDZ695RIV,YNW Bortlen,,35.0,20682.0,0
2EnD37GNRe2REqHBKqMnZQ,Bslime,atl trap,42.0,15112.0,1
0ceH34CATvfgphxnLRWFkm,9lokknine,"florida drill, florida rap",64.0,547587.0,1
3nViOFa3kZW8OMSNOzwr98,Queen Naija,"pop r&b, r&b",60.0,3153005.0,0
4gB2Nnsapxi4chX9f5zgku,Skooly,,46.0,233714.0,0
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,"melodic rap, rap, trap",79.0,8575948.0,1
6BH1xcDkwbbyrLMUKECsW1,Toosii,north carolina hip hop,67.0,1994329.0,0
4bC0rBgHBQ02vfeyLIKBdG,Jit4 Stan,,34.0,2218.0,0
1xr2G8Hlx4QWmT9HaUbmoO,Young Stoner Life,pop rap,66.0,190376.0,1
1egKFNqREi1l3EsTwRrvVR,100k Track,,38.0,12274.0,0
4QD6UrogtlwL2GoVM5cZEN,J Green,,25.0,912.0,0
3IaKn0ExWTMPqa0mscUYw3,Only The Family,chicago rap,63.0,591802.0,1
4yTmEo2clwWq2jwelvqgVv,Fredo Bang,"baton rouge rap, memphis hip hop, trap",58.0,845592.0,1
2dJ7qCfsYlwiI1vDpImybL,Ynw4L,,44.0,5059.0,0
6QtgPSJPSzcnn7dPZ4VINp,King Von,"chicago rap, rap",78.0,5558850.0,1
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,"melodic rap, rap, trap",80.0,11036855.0,1
7jML11qF6iqjI8aaBJo7pA,Rose Byrne,,38.0,991.0,0
1eYhWrTujtBicTr5oVB6yH,Keith Robinson,,34.0,4115.0,0
6CxZzQFUTM6AzgluGwtq5w,Charlie Wilson,"contemporary r&b, r&b, urban contemporary",66.0,1147779.0,0
6DugXn7mndONknqpgY3QZW,Hinton Battle,,23.0,702.0,0
6KZDXtSj0SzGOV705nNeh3,Kid Ink,"pop rap, rap, southern hip hop, trap",68.0,2986399.0,1
4fqk0Vw0VrIY8O2eWtmQO2,Anika Noni Rose,movie tunes,56.0,35527.0,0
1Zq8pfBl4ejCMrWdeAdphc,Eddie Murphy,black comedy,47.0,99003.0,0
1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,"baton rouge rap, pop rap, rap, southern hip hop, trap",73.0,6316589.0,1
1lrL3Lwyoyij9dFwSayDsV,Cameron Diaz,,43.0,7324.0,0
4PiUI5tfxk1ECzVLQCksAA,Sharon Leal,,35.0,515.0,0
1nsURHyRMwZA5oipZwM4bA,Git Fresh,,35.0,18559.0,0
0LyfQWJT6nXafLPZqxe9Of,Various Artists,,0.0,2597557.0,0
266SmBZTt4zRzaKEANWbfQ,Adina Howard,"contemporary r&b, r&b",48.0,455814.0,0
67nwj3Y5sZQLl72VNUHEYE,Wale,"pop rap, r&b, rap, southern hip hop, trap",71.0,4171019.0,1
35GL8Cu2GKTcHzKGi75xl5,Jennifer Hudson,"dance pop, r&b, urban contemporary",64.0,2003626.0,0
5jNmxPYz8QE5rYp4GDil8t,Dina Rae,,68.0,31076.0,0
1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,"g funk, gangster rap, hardcore hip hop, hip hop, west coast rap",78.0,1755802.0,1
0sKsReKseslDlhxmbN6wLk,BabyTron,"detroit hip hop, scam rap",70.0,588175.0,1
79KQgTCu4wV38ECYKn62DZ,White Gold,,60.0,12392.0,0
6U3ybJ9UHNKEdsH7ktGBZ7,JID,"hip hop, pop rap, rap, underground hip hop",79.0,1943405.0,1
4AA474G2hRfrHyGrfyDseO,Mozzy,"cali rap, sacramento hip hop",63.0,825164.0,1
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,"country rap, modern country pop, nashville hip hop, tennessee hip hop",83.0,4688781.0,1
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,"g funk, gangster rap, hip hop, rap, west coast rap",82.0,13028343.0,1
6AgTAQt8XS6jRWi4sX7w49,Polo G,"chicago rap, rap",81.0,12095791.0,1
6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas,"boston hip hop, hip hop, pop rap, rap",69.0,2306332.0,1
1P8IfcNKwrkQP5xJWuhaOC,LL COOL J,"east coast hip hop, golden age hip hop, hip hop, old school hip hop, queens hip hop, rap",66.0,1792496.0,1
24PJqH46WhB0pUB7NlsFna,Knoc-Turn'al,"g funk, west coast rap",57.0,22284.0,1
5CiGnKThu5ctn9pBxv7DGa,benny blanco,pop,79.0,1259821.0,0
2mpeljBig2IXLXRAFO9AAs,Dido,"dance pop, europop, lilith, neo mellow, pop rock",76.0,1935647.0,0
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",85.0,13346529.0,1
6U0aWTZ4llc1ICfyFPtIzd,Doodles,,54.0,8953.0,0
4OBJLual30L7gRl5UkeRcT,T.I.,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",76.0,4907483.0,1
5WUlDfRSoLAfcVSX1WnrxN,Sia,pop,88.0,29041158.0,0
2feDdbD5araYcm6JhFHHw7,Labrinth,"indie poptimism, pop",78.0,3383423.0,0
7aBzpmFXB4WWpPl2F7RjBe,Wyclef Jean,rap kreyol,73.0,367024.0,1
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,"dance pop, girl group, pop, r&b, urban contemporary",74.0,7546347.0,0
3AuMNF8rQAKOzjYppFNAoB,Kelly Rowland,"atl hip hop, dance pop, hip pop, r&b, urban contemporary",70.0,3528986.0,0
6TIYQ3jFPwQSRmorSezPxX,mgk,"ohio hip hop, pop rap",79.0,5426211.0,1
0VRj0yCOv2FXJNP47XQnx5,Quavo,"atl hip hop, melodic rap, rap, trap",81.0,7611661.0,1
