id,release_year,artists,track_name
5cXg9IQS34FzLVdHhp7hu7,2018,"['2YZyLoL8N0Wb9xBt1NhZWg', '0Y5tJX1MQlPlqiwlOH1tJY']",Big Shot (with Travis Scott)
3MLOAIJNWWS8FQpvdaiKR7,2012,"['2YZyLoL8N0Wb9xBt1NhZWg', '3TVXtAsR1Inumwj472S9r4']",Poetic Justice
0O6cYePgIBlMQ0pAFate3q,2012,"['2YZyLoL8N0Wb9xBt1NhZWg', '6DPYiyq5kWVQS4RGwxzPC7']",Compton
5jHilrZDaP1vJMZfdN1He3,2012,"['2YZyLoL8N0Wb9xBt1NhZWg', '6DPYiyq5kWVQS4RGwxzPC7']",The Recipe - Bonus Track
5J6CXHvsfRGyyCnQZmVPoE,2012,"['2YZyLoL8N0Wb9xBt1NhZWg', '3TVXtAsR1Inumwj472S9r4']",Poetic Justice
3i2XxFTLd2061UISvE5W7f,2012,"['2YZyLoL8N0Wb9xBt1NhZWg', '6DPYiyq5kWVQS4RGwxzPC7']",Compton
67nepsnrcZkowTxMWigSbb,2023,"['0Y5tJX1MQlPlqiwlOH1tJY', '3TVXtAsR1Inumwj472S9r4']",MELTDOWN (feat. Drake)
42VsgItocQwOQC3XWZ8JNA,2023,"['0Y5tJX1MQlPlqiwlOH1tJY', '699OTQXzgjhIYAHMy9RyPD']",FE!N (feat. Playboi Carti)
0bkV1iQHSxBaksUqgEkcbc,2023,"['0Y5tJX1MQlPlqiwlOH1tJY', '50co4Is1HCEo8bhOyUWKpn']",SKITZO (feat. Young Thug)
20dP2DaMHIAmwWAbp7peSr,2016,"['50co4Is1HCEo8bhOyUWKpn', '0Y5tJX1MQlPlqiwlOH1tJY']",pick up the phone
5H25xsIuRWUI8GwcoAoeSG,2015,"['0Y5tJX1MQlPlqiwlOH1tJY', '5K4W6rqBFWDnAN6FQUkS6x']",Piss On Your Grave (feat. Kanye West)
5s6ToF2Jl5GGuBh3Wj9qnT,2014,"['0Y5tJX1MQlPlqiwlOH1tJY', '50co4Is1HCEo8bhOyUWKpn']",Skyfall (feat. Young Thug)
2K0PigoeFxviYiQXd4XtLI,2024,"['0hCNtLu0JehylgoiP8L4Gh', '4MCBfE4596Uoi2O4DtmEMz']",Arctic Tundra (feat. Juice WRLD)
3Ddwt1vUIu4OcBLJta7d64,2024,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4', '55Aa2cqylxrFIXC767Z865']",Truffle Butter (feat. Drake & Lil Wayne)
0At4yLhz4OUIuJnO6p0jbU,2024,"['0hCNtLu0JehylgoiP8L4Gh', '6l3HvQ5sa6mXTsMTB19rO5']",Let Me Calm Down (feat. J. Cole)
67ljDfbMAXlOVUXCOdBq3I,2024,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4']",Needle (feat. Drake)
2Mk5wccPJlylH98GZlx39z,2024,"['0hCNtLu0JehylgoiP8L4Gh', '4O15NlyKLIASxsJ0PrXPfz']",Everybody (feat. Lil Uzi Vert)
5XOVnisFK9XbICdyMMjrol,2024,"['0hCNtLu0JehylgoiP8L4Gh', '1RyvyyTE3xzB2ZywiAwp0i']",Nicki Hendrix (feat. Future)
0fYAiFnR8EMuBhU6YgQvPG,2024,"['0hCNtLu0JehylgoiP8L4Gh', '3q7HBObVc0L8jNeTe5Gofh']",Beep Beep (feat. 50 Cent)
412SI13OfbJ6cpg2XYCtzz,2024,"['0hCNtLu0JehylgoiP8L4Gh', '1RyvyyTE3xzB2ZywiAwp0i']",Press Play (feat. Future)
